Profit,Genre,Budget,externalContributor,enabled,Worldwide Gross,artist,id,match,likedCount,thumbnailUrl,playcount,points,external,Film,likeCount,name,visible,department,displayName,Rotten Tomatoes,followingCount,followerCount,Story,level
7,Marketing,20,false,true,7,stephanie.huber,5197,20,7,https://brewspace.jiveland.com/api/core/v3/people/5197/avatar,20,3319,false,stephanie.huber,13,stephanie.huber,true,Marketing,Stephanie Huber,13,48,38,Marketing,Level 3
62,Hosting,155,false,true,62,jennifer.loveday,6135,155,62,https://brewspace.jiveland.com/api/core/v3/people/6135/avatar,155,3665,false,jennifer.loveday,93,jennifer.loveday,true,Hosting,Jennifer Loveday,93,56,39,Hosting,Level 3
88,Marketing,133,false,true,88,jason.khoury,5445,133,88,https://brewspace.jiveland.com/api/core/v3/people/5445/avatar,133,9899,false,jason.khoury,45,jason.khoury,true,Marketing,Jason Khoury,45,62,60,Marketing,Level 4
28,Engineering,248,false,true,28,john.medway,3400,248,28,https://brewspace.jiveland.com/api/core/v3/people/3400/avatar,248,5804,false,john.medway,220,john.medway,true,Engineering,John Medway,220,91,80,Engineering,Level 4
80,Professional Services,110,false,true,80,chris.dempsey,3117,110,80,https://brewspace.jiveland.com/api/core/v3/people/3117/avatar,110,8478,false,chris.dempsey,30,chris.dempsey,true,Professional Services,Chris Dempsey,30,73,62,Professional Services,Level 4
1,Professional Services,18,false,true,1,john.reynolds,6170,18,1,https://brewspace.jiveland.com/api/core/v3/people/6170/avatar,18,472,false,john.reynolds,17,john.reynolds,true,Professional Services,John Reynolds,17,0,2,Professional Services,Level 1
4,Marketing,4,false,false,4,angel.white,6472,4,4,https://brewspace.jiveland.com/api/core/v3/people/avatar/deactivated,4,147,false,angel.white,0,angel.white,true,Marketing,Angel White,0,6,6,Marketing,Level 1
15,Field Sales,16,false,true,15,david.graswick,5580,16,15,https://brewspace.jiveland.com/api/core/v3/people/5580/avatar,16,3140,false,david.graswick,1,david.graswick,true,Field Sales,David Graswick,1,37,31,Field Sales,Level 3
0,Engineering,1,false,true,0,daniela.ojeda,2677,1,0,https://brewspace.jiveland.com/api/core/v3/people/2677/avatar,1,2200,false,daniela.ojeda,1,daniela.ojeda,true,Engineering,Daniela Ojeda,1,36,31,Engineering,Level 3
55,Support,118,false,true,55,jesse.fuller,5208,118,55,https://brewspace.jiveland.com/api/core/v3/people/5208/avatar,118,5699,false,jesse.fuller,63,jesse.fuller,true,Support,Jesse Fuller,63,51,43,Support,Level 4
93,Engineering,243,false,true,93,jeremy.grant,2879,243,93,https://brewspace.jiveland.com/api/core/v3/people/2879/avatar,243,20908,false,jeremy.grant,150,jeremy.grant,true,Engineering,Jeremy Grant,150,131,141,Engineering,Level 5
119,Marketing,186,false,true,119,elizabeth.brigham,4699,186,119,https://brewspace.jiveland.com/api/core/v3/people/4699/avatar,186,38308,false,elizabeth.brigham,67,elizabeth.brigham,true,Marketing,Elizabeth Brigham,67,432,277,Marketing,Level 6
56,Engineering,73,false,true,56,rob.derstadt,3550,73,56,https://brewspace.jiveland.com/api/core/v3/people/3550/avatar,73,6207,false,rob.derstadt,17,rob.derstadt,true,Engineering,Rob Derstadt,17,143,111,Engineering,Level 4
142,Sales Engineers - US,149,false,true,142,ken.granger,3217,149,142,https://brewspace.jiveland.com/api/core/v3/people/3217/avatar,149,5230,false,ken.granger,7,ken.granger,true,Sales Engineers - US,Ken Granger,7,49,57,Sales Engineers - US,Level 4
4,Alliances,7,false,true,4,andre.ros,5847,7,4,https://brewspace.jiveland.com/api/core/v3/people/5847/avatar,7,2630,false,andre.ros,3,andre.ros,true,Alliances,Andre Ros,3,52,35,Alliances,Level 3
12,Engineering,14,false,true,12,ken.brumer,2979,14,12,https://brewspace.jiveland.com/api/core/v3/people/2979/avatar,14,2943,false,ken.brumer,2,ken.brumer,true,Engineering,Ken Brumer,2,62,40,Engineering,Level 3
21,Engineering,61,false,true,21,devon.peters,5106,61,21,https://brewspace.jiveland.com/api/core/v3/people/5106/avatar,61,4076,false,devon.peters,40,devon.peters,true,Engineering,Devon Peters,40,64,46,Engineering,Level 3
35,Sales - Inside Sales,64,false,true,35,kieran.noonan,5599,64,35,https://brewspace.jiveland.com/api/core/v3/people/5599/avatar,64,3612,false,kieran.noonan,29,kieran.noonan,true,Sales - Inside Sales,Kieran Noonan,29,65,31,Sales - Inside Sales,Level 3
1,HR,1,false,true,1,paul.stearns,4341,1,1,https://brewspace.jiveland.com/api/core/v3/people/4341/avatar,1,3739,false,paul.stearns,0,paul.stearns,true,HR,Paul Stearns,0,14,65,HR,Level 3
1,Hosting,1,false,true,1,hosting.docs,5397,1,1,https://brewspace.jiveland.com/api/core/v3/people/5397/avatar,1,1062,false,hosting.docs,0,hosting.docs,true,Hosting,Hosting Docs,0,0,9,Hosting,Level 2
0,Engineering,2,false,true,0,kenneth.cromack,5947,2,0,https://brewspace.jiveland.com/api/core/v3/people/5947/avatar,2,1651,false,kenneth.cromack,2,kenneth.cromack,true,Engineering,Kenneth Cromack,2,15,16,Engineering,Level 2
14,Engineering,27,false,true,14,sam.meder,3165,27,14,https://brewspace.jiveland.com/api/core/v3/people/3165/avatar,27,5602,false,sam.meder,13,sam.meder,true,Engineering,Sam Meder,13,164,145,Engineering,Level 4
16,Field Sales - US Central,23,false,true,16,matthew.collins,5408,23,16,https://brewspace.jiveland.com/api/core/v3/people/5408/avatar,23,3842,false,matthew.collins,7,matthew.collins,true,Field Sales - US Central,Matthew Collins,7,73,43,Field Sales - US Central,Level 3
23,Support,46,false,true,23,christopher.burdick,5645,46,23,https://brewspace.jiveland.com/api/core/v3/people/5645/avatar,46,2920,false,christopher.burdick,23,christopher.burdick,true,Support,Christopher Burdick,23,29,28,Support,Level 3
147,Product Marketing,247,false,true,147,megan,2021,247,147,https://brewspace.jiveland.com/api/core/v3/people/2021/avatar,247,34566,false,megan,100,megan,true,Product Marketing,Megan Ross Farrell,100,156,201,Product Marketing,Level 6
73,Support,138,false,true,73,jeremy.simantel,5543,138,73,https://brewspace.jiveland.com/api/core/v3/people/5543/avatar,138,7837,false,jeremy.simantel,65,jeremy.simantel,true,Support,Jeremy Simantel,65,32,36,Support,Level 4
26,Professional Services,58,false,true,26,scott.romney,3467,58,26,https://brewspace.jiveland.com/api/core/v3/people/3467/avatar,58,8159,false,scott.romney,32,scott.romney,true,Professional Services,Scott Romney,32,75,76,Professional Services,Level 4
5,Finance,6,false,true,5,adam.jernigan,5745,6,5,https://brewspace.jiveland.com/api/core/v3/people/5745/avatar,6,4192,false,adam.jernigan,1,adam.jernigan,true,Finance,Adam Jernigan,1,22,13,Finance,Level 3
9,Field Sales - US West,17,false,true,9,meg.splaine,2827,17,9,https://brewspace.jiveland.com/api/core/v3/people/2827/avatar,17,5428,false,meg.splaine,8,meg.splaine,true,Field Sales - US West,Meg Splaine,8,32,79,Field Sales - US West,Level 4
7,Sales Management,9,false,true,7,robert.block,5699,9,7,https://brewspace.jiveland.com/api/core/v3/people/5699/avatar,9,6626,false,robert.block,2,robert.block,true,Sales Management,Robert Block,2,57,164,Sales Management,Level 4
12,Finance,19,false,true,12,garret.albert,4108,19,12,https://brewspace.jiveland.com/api/core/v3/people/4108/avatar,19,11311,false,garret.albert,7,garret.albert,true,Finance,Garret Albert,7,43,43,Finance,Level 4
2,Finance,16,false,true,2,nadine.honda,5341,16,2,https://brewspace.jiveland.com/api/core/v3/people/5341/avatar,16,5304,false,nadine.honda,14,nadine.honda,true,Finance,Nadine Honda,14,72,47,Finance,Level 4
5,Product Management,6,false,true,5,ariel.cohen,3517,6,5,https://brewspace.jiveland.com/api/core/v3/people/3517/avatar,6,13669,false,ariel.cohen,1,ariel.cohen,true,Product Management,Ariel Cohen,1,90,99,Product Management,Level 5
185,Engineering,358,false,true,185,jason.holliston,5104,358,185,https://brewspace.jiveland.com/api/core/v3/people/5104/avatar,358,11704,false,jason.holliston,173,jason.holliston,true,Engineering,Jason Holliston,173,197,111,Engineering,Level 4
3,Finance,4,false,true,3,eric.johnson,3850,4,3,https://brewspace.jiveland.com/api/core/v3/people/3850/avatar,4,4251,false,eric.johnson,1,eric.johnson,true,Finance,Eric Johnson,1,66,117,Finance,Level 3
51,Sales Management,51,false,true,51,john.mccracken,2725,51,51,https://brewspace.jiveland.com/api/core/v3/people/2725/avatar,51,10335,false,john.mccracken,0,john.mccracken,true,Sales Management,John McCracken,0,46,570,Sales Management,Level 4
9,Marketing,11,false,true,9,valentina.grandi,5643,11,9,https://brewspace.jiveland.com/api/core/v3/people/5643/avatar,11,1613,false,valentina.grandi,2,valentina.grandi,true,Marketing,Valentina Grandi,2,61,48,Marketing,Level 2
16,Hosting,28,false,true,16,chris.lyon,4006,28,16,https://brewspace.jiveland.com/api/core/v3/people/4006/avatar,28,11306,false,chris.lyon,12,chris.lyon,true,Hosting,Chris Lyon,12,68,107,Hosting,Level 4
14,Engineering,19,false,true,14,david.roe,3163,19,14,https://brewspace.jiveland.com/api/core/v3/people/3163/avatar,19,3133,false,david.roe,5,david.roe,true,Engineering,David Roe,5,58,63,Engineering,Level 3
20,Sales - Telesales,37,false,true,20,mike.turnell,5945,37,20,https://brewspace.jiveland.com/api/core/v3/people/5945/avatar,37,2550,false,mike.turnell,17,mike.turnell,true,Sales - Telesales,Mike Turnell,17,41,24,Sales - Telesales,Level 3
17,Sales Engineers - US,50,false,true,17,jeanne.mickey,4595,50,17,https://brewspace.jiveland.com/api/core/v3/people/4595/avatar,50,5037,false,jeanne.mickey,33,jeanne.mickey,true,Sales Engineers - US,Jeanne Mickey,33,149,88,Sales Engineers - US,Level 4
27,Sales,52,false,true,27,leandra.fishman,5395,52,27,https://brewspace.jiveland.com/api/core/v3/people/5395/avatar,52,11268,false,leandra.fishman,25,leandra.fishman,true,Sales,Leandra Fishman,25,24,141,Sales,Level 4
14,Field Sales - Europe,14,false,true,14,john.raap,5495,14,14,https://brewspace.jiveland.com/api/core/v3/people/5495/avatar,14,3973,false,john.raap,0,john.raap,true,Field Sales - Europe,John Raap,0,29,39,Field Sales - Europe,Level 3
8,Sales Management,11,false,true,8,robert.yue,5697,11,8,https://brewspace.jiveland.com/api/core/v3/people/5697/avatar,11,3855,false,robert.yue,3,robert.yue,true,Sales Management,Robert Yue,3,75,63,Sales Management,Level 3
38,Field Sales,49,false,true,38,brian.steinberg,5541,49,38,https://brewspace.jiveland.com/api/core/v3/people/5541/avatar,49,8477,false,brian.steinberg,11,brian.steinberg,true,Field Sales,Brian Steinberg,11,42,33,Field Sales,Level 4
30,Professional Services,48,false,true,30,john.tauzin,6387,48,30,https://brewspace.jiveland.com/api/core/v3/people/6387/avatar,48,2043,false,john.tauzin,18,john.tauzin,true,Professional Services,John Tauzin,18,78,34,Professional Services,Level 3
65,Marketing,152,false,true,65,linda.tsan,5708,152,65,https://brewspace.jiveland.com/api/core/v3/people/5708/avatar,152,7488,false,linda.tsan,87,linda.tsan,true,Marketing,Linda Tsan,87,34,46,Marketing,Level 4
55,Engineering,67,false,true,55,aaron.malenfant,3465,67,55,https://brewspace.jiveland.com/api/core/v3/people/3465/avatar,67,9624,false,aaron.malenfant,12,aaron.malenfant,true,Engineering,Aaron Malenfant,12,91,89,Engineering,Level 4
20,Corporate,80,false,true,20,kenny.tucker,2875,80,20,https://brewspace.jiveland.com/api/core/v3/people/2875/avatar,80,8834,false,kenny.tucker,60,kenny.tucker,true,Corporate,Kenny Tucker,60,106,164,Corporate,Level 4
131,Support,232,false,true,131,ben.walker,4695,232,131,https://brewspace.jiveland.com/api/core/v3/people/4695/avatar,232,15978,false,ben.walker,101,ben.walker,true,Support,Ben Walker,101,87,76,Support,Level 5
2,Field Sales,3,false,true,2,chuck.crawley,3919,3,2,https://brewspace.jiveland.com/api/core/v3/people/3919/avatar,3,2561,false,chuck.crawley,1,chuck.crawley,true,Field Sales,Chuck Crawley,1,30,62,Field Sales,Level 3
35,Corporate,35,false,true,35,jay.larson,5091,35,35,https://brewspace.jiveland.com/api/core/v3/people/5091/avatar,35,8257,false,jay.larson,0,jay.larson,true,Corporate,Jay Larson,0,56,383,Corporate,Level 4
155,Engineering,529,false,true,155,sid.bos,2188,529,155,https://brewspace.jiveland.com/api/core/v3/people/2188/avatar,529,31115,false,sid.bos,374,sid.bos,true,Engineering,Sid Bos,374,224,253,Engineering,Level 6
30,Engineering Quality Assurance,41,false,true,30,chieko.higashi,4458,41,30,https://brewspace.jiveland.com/api/core/v3/people/4458/avatar,41,2871,false,chieko.higashi,11,chieko.higashi,true,Engineering Quality Assurance,Chieko Higashi,11,23,35,Engineering Quality Assurance,Level 3
60,Marketing,119,false,true,60,brett.blackney,5304,119,60,https://brewspace.jiveland.com/api/core/v3/people/5304/avatar,119,4834,false,brett.blackney,59,brett.blackney,true,Marketing,Brett Blackney,59,105,67,Marketing,Level 3
8,Hosting,21,false,true,8,nathaniel.felsen,5595,21,8,https://brewspace.jiveland.com/api/core/v3/people/5595/avatar,21,4966,false,nathaniel.felsen,13,nathaniel.felsen,true,Hosting,Nathaniel Felsen,13,63,38,Hosting,Level 3
13,Engineering,14,false,true,13,randi.thomas,6487,14,13,https://brewspace.jiveland.com/api/core/v3/people/6487/avatar,14,456,false,randi.thomas,1,randi.thomas,true,Engineering,Randi Thomas,1,11,11,Engineering,Level 1
76,Engineering,235,false,true,76,randall.sexton,5797,235,76,https://brewspace.jiveland.com/api/core/v3/people/5797/avatar,235,6081,false,randall.sexton,159,randall.sexton,true,Engineering,Randall Sexton,159,69,41,Engineering,Level 4
16,Engineering,16,false,true,16,ramin.safaie,5897,16,16,https://brewspace.jiveland.com/api/core/v3/people/5897/avatar,16,1821,false,ramin.safaie,0,ramin.safaie,true,Engineering,Ramin Safaie,0,19,18,Engineering,Level 2
3,Alliances,4,false,true,3,nick.duce,5641,4,3,https://brewspace.jiveland.com/api/core/v3/people/5641/avatar,4,4020,false,nick.duce,1,nick.duce,true,Alliances,Nick Duce,1,30,48,Alliances,Level 3
35,Finance,37,false,true,35,chris.varrasse,5393,37,35,https://brewspace.jiveland.com/api/core/v3/people/5393/avatar,37,8429,false,chris.varrasse,2,chris.varrasse,true,Finance,Chris Varrasse,2,51,37,Finance,Level 4
7,Finance,76,false,true,7,myles.delong,3363,76,7,https://brewspace.jiveland.com/api/core/v3/people/3363/avatar,76,6230,false,myles.delong,69,myles.delong,true,Finance,Myles DeLong,69,108,67,Finance,Level 4
14,Hosting,28,false,true,14,melody.trainor,5606,28,14,https://brewspace.jiveland.com/api/core/v3/people/5606/avatar,28,2779,false,melody.trainor,14,melody.trainor,true,Hosting,Melody Trainor,14,35,23,Hosting,Level 3
7,IT,8,false,true,7,peter.lam,4054,8,7,https://brewspace.jiveland.com/api/core/v3/people/4054/avatar,8,3427,false,peter.lam,1,peter.lam,true,IT,Peter Lam,1,30,43,IT,Level 3
1,Field Sales - US West,1,false,false,1,dennis,2036,1,1,https://brewspace.jiveland.com/api/core/v3/people/avatar/deactivated,1,2073,false,dennis,0,dennis,true,Field Sales - US West,Dennis Deveny,0,24,104,Field Sales - US West,Level 3
28,Field Sales - US West,131,false,true,28,gemma.krug,2873,131,28,https://brewspace.jiveland.com/api/core/v3/people/2873/avatar,131,9848,false,gemma.krug,103,gemma.krug,true,Field Sales - US West,Gemma Krug,103,117,127,Field Sales - US West,Level 4
12,Facilities,29,false,true,12,mike.ofarrell,5493,29,12,https://brewspace.jiveland.com/api/core/v3/people/5493/avatar,29,8189,false,mike.ofarrell,17,mike.ofarrell,true,Facilities,Mike O'Farrell,17,54,50,Facilities,Level 4
105,Professional Services,176,false,true,105,darin.hafer,4658,176,105,https://brewspace.jiveland.com/api/core/v3/people/4658/avatar,176,8898,false,darin.hafer,71,darin.hafer,true,Professional Services,Darin Hafer,71,26,43,Professional Services,Level 4
6,Engineering,8,false,true,6,casey.ransom,6431,8,6,https://brewspace.jiveland.com/api/core/v3/people/6431/avatar,8,1381,false,casey.ransom,2,casey.ransom,true,Engineering,Casey Ransom,2,4,14,Engineering,Level 2
89,Product Management,197,false,true,89,olivia.teich,2823,197,89,https://brewspace.jiveland.com/api/core/v3/people/2823/avatar,197,35757,false,olivia.teich,108,olivia.teich,true,Product Management,Olivia Teich,108,157,302,Product Management,Level 6
18,Engineering,43,false,true,18,uma.adusumilli,4391,43,18,https://brewspace.jiveland.com/api/core/v3/people/4391/avatar,43,5850,false,uma.adusumilli,25,uma.adusumilli,true,Engineering,Uma Adusumilli,25,51,46,Engineering,Level 4
3,Corporate,16,false,true,3,tanja.amlie,3261,16,3,https://brewspace.jiveland.com/api/core/v3/people/3261/avatar,16,4481,false,tanja.amlie,13,tanja.amlie,true,Corporate,Tanja Amlie,13,144,112,Corporate,Level 3
59,Support,159,false,true,59,doug.woolley,3211,159,59,https://brewspace.jiveland.com/api/core/v3/people/3211/avatar,159,9352,false,doug.woolley,100,doug.woolley,true,Support,Doug Woolley,100,133,96,Support,Level 4
58,Engineering,138,false,true,58,greg.borchers,5741,138,58,https://brewspace.jiveland.com/api/core/v3/people/5741/avatar,138,6328,false,greg.borchers,80,greg.borchers,true,Engineering,Greg Borchers,80,56,39,Engineering,Level 4
1,Support,1,false,false,1,tatsuro.alpert,4254,1,1,https://brewspace.jiveland.com/api/core/v3/people/avatar/deactivated,1,1213,false,tatsuro.alpert,0,tatsuro.alpert,true,Support,Tatsuro Alpert,0,54,47,Support,Level 2
42,Marketing,50,false,true,42,jarrett.obrien,5302,50,42,https://brewspace.jiveland.com/api/core/v3/people/5302/avatar,50,11785,false,jarrett.obrien,8,jarrett.obrien,true,Marketing,Jarrett OBrien,8,53,98,Marketing,Level 4
6,Sales: Field Sales - Europe,12,false,true,6,pieter.berendsen,5795,12,6,https://brewspace.jiveland.com/api/core/v3/people/5795/avatar,12,2921,false,pieter.berendsen,6,pieter.berendsen,true,Sales: Field Sales - Europe,Pieter Berendsen,6,34,25,Sales: Field Sales - Europe,Level 3
0,HR,35,false,true,0,caitlin.henry,5593,35,0,https://brewspace.jiveland.com/api/core/v3/people/5593/avatar,35,2534,false,caitlin.henry,35,caitlin.henry,true,HR,Caitlin Henry,35,20,24,HR,Level 3
184,Sales Engineers,211,false,true,184,paul.rendeiro,4204,211,184,https://brewspace.jiveland.com/api/core/v3/people/4204/avatar,211,10998,false,paul.rendeiro,27,paul.rendeiro,true,Sales Engineers,Paul Rendeiro,27,98,122,Sales Engineers,Level 4
9,Engineering,16,false,true,9,arend.naylor,5291,16,9,https://brewspace.jiveland.com/api/core/v3/people/5291/avatar,16,4721,false,arend.naylor,7,arend.naylor,true,Engineering,Arend Naylor,7,26,47,Engineering,Level 3
62,Engineering,84,false,true,62,kevin.karpenske,3765,84,62,https://brewspace.jiveland.com/api/core/v3/people/3765/avatar,84,15041,false,kevin.karpenske,22,kevin.karpenske,true,Engineering,Kevin Karpenske,22,221,146,Engineering,Level 5
75,Engineering,242,false,true,75,tom.murray,3715,242,75,https://brewspace.jiveland.com/api/core/v3/people/3715/avatar,242,16783,false,tom.murray,167,tom.murray,true,Engineering,Tom Murray,167,258,152,Engineering,Level 5
147,Professional Services,301,false,true,147,nimi.berman,2923,301,147,https://brewspace.jiveland.com/api/core/v3/people/2923/avatar,301,18657,false,nimi.berman,154,nimi.berman,true,Professional Services,Nimi Berman,154,66,79,Professional Services,Level 5
49,Legal,69,false,true,49,lucy.gilly,6248,69,49,https://brewspace.jiveland.com/api/core/v3/people/6248/avatar,69,1220,false,lucy.gilly,20,lucy.gilly,true,Legal,Lucy Gilly,20,83,47,Legal,Level 2
11,Engineering,16,false,true,11,chris.sauer,4591,16,11,https://brewspace.jiveland.com/api/core/v3/people/4591/avatar,16,8390,false,chris.sauer,5,chris.sauer,true,Engineering,Chris Sauer,5,138,78,Engineering,Level 4
20,Enterprise Solutions,42,false,true,20,amir.schwartz,4052,42,20,https://brewspace.jiveland.com/api/core/v3/people/4052/avatar,42,7839,false,amir.schwartz,22,amir.schwartz,true,Enterprise Solutions,Amir Schwartz,22,41,49,Enterprise Solutions,Level 4
34,Sales Engineers - US,46,false,true,34,frank.pathyil,3311,46,34,https://brewspace.jiveland.com/api/core/v3/people/3311/avatar,46,9853,false,frank.pathyil,12,frank.pathyil,true,Sales Engineers - US,Frank Pathyil,12,60,75,Sales Engineers - US,Level 4
176,Strategy,256,false,true,176,kathryn.everest,2721,256,176,https://brewspace.jiveland.com/api/core/v3/people/2721/avatar,256,21578,false,kathryn.everest,80,kathryn.everest,true,Strategy,Kathryn Everest,80,89,198,Strategy,Level 5
1,Marketing,1,false,true,1,dana.leipold,5658,1,1,https://brewspace.jiveland.com/api/core/v3/people/5658/avatar,1,1052,false,dana.leipold,0,dana.leipold,true,Marketing,Dana Leipold,0,11,15,Marketing,Level 2
2,Field Sales,2,false,true,2,jan.hygstedt,5704,2,2,https://brewspace.jiveland.com/api/core/v3/people/5704/avatar,2,3466,false,jan.hygstedt,0,jan.hygstedt,true,Field Sales,Jan Hygstedt,0,25,22,Field Sales,Level 3
20,Marketing,52,false,true,20,tara.panu,4691,52,20,https://brewspace.jiveland.com/api/core/v3/people/4691/avatar,52,7319,false,tara.panu,32,tara.panu,true,Marketing,Tara Panu,32,36,60,Marketing,Level 4
6,Engineering,11,false,true,6,patricio.lugli,4606,11,6,https://brewspace.jiveland.com/api/core/v3/people/4606/avatar,11,3640,false,patricio.lugli,5,patricio.lugli,true,Engineering,Patricio Lugli,5,22,22,Engineering,Level 3
70,Marketing,131,false,true,70,MVP,5491,131,70,https://brewspace.jiveland.com/api/core/v3/people/5491/avatar,131,11816,false,MVP,61,MVP,true,Marketing,Monica Visconti-Patel,61,113,83,Marketing,Level 4
25,Hosting,29,false,true,25,bill.krause,4102,29,25,https://brewspace.jiveland.com/api/core/v3/people/4102/avatar,29,6629,false,bill.krause,4,bill.krause,true,Hosting,Bill Krause,4,16,42,Hosting,Level 4
2,Engineering,8,false,true,2,carolina.roncaglia,2821,8,2,https://brewspace.jiveland.com/api/core/v3/people/2821/avatar,8,3140,false,carolina.roncaglia,6,carolina.roncaglia,true,Engineering,Carolina Roncaglia,6,47,45,Engineering,Level 3
